Store,DayOfWeek,Date,Sales,Customers,Open,Promo,StateHoliday,SchoolHoliday
1,5,7/31/2015,5263,555,1,1,0,1
1,4,7/30/2015,5020,546,1,1,0,1
1,3,7/29/2015,4782,523,1,1,0,1
1,2,7/28/2015,5011,560,1,1,0,1
1,1,7/27/2015,6102,612,1,1,0,1
1,7,7/26/2015,0,0,0,0,0,0
1,6,7/25/2015,4364,500,1,0,0,0
1,5,7/24/2015,3706,459,1,0,0,0
1,4,7/23/2015,3769,503,1,0,0,0
1,3,7/22/2015,3464,463,1,0,0,0
1,2,7/21/2015,3558,469,1,0,0,0
1,1,7/20/2015,4395,526,1,0,0,0
1,7,7/19/2015,0,0,0,0,0,0
1,6,7/18/2015,4406,512,1,0,0,0
1,5,7/17/2015,4852,519,1,1,0,0
1,4,7/16/2015,4427,517,1,1,0,0
1,3,7/15/2015,4767,550,1,1,0,0
1,2,7/14/2015,5042,544,1,1,0,0
1,1,7/13/2015,5054,553,1,1,0,0
1,7,7/12/2015,0,0,0,0,0,0
1,6,7/11/2015,3530,441,1,0,0,0
1,5,7/10/2015,3808,449,1,0,0,0
1,4,7/9/2015,3897,480,1,0,0,0
1,3,7/8/2015,3797,485,1,0,0,0
1,2,7/7/2015,3650,485,1,0,0,0
1,1,7/6/2015,4359,540,1,0,0,0
1,7,7/5/2015,0,0,0,0,0,0
1,6,7/4/2015,4797,560,1,0,0,0
1,5,7/3/2015,4665,538,1,1,0,0
1,4,7/2/2015,5558,573,1,1,0,0
1,3,7/1/2015,5223,562,1,1,0,0
1,2,6/30/2015,5735,568,1,1,0,0
1,1,6/29/2015,5197,541,1,1,0,0
1,7,6/28/2015,0,0,0,0,0,0
1,6,6/27/2015,4019,463,1,0,0,0
1,5,6/26/2015,3317,420,1,0,0,0
1,4,6/25/2015,3533,433,1,0,0,0
1,3,6/24/2015,3346,414,1,0,0,0
1,2,6/23/2015,3762,447,1,0,0,0
1,1,6/22/2015,3846,489,1,0,0,0
1,7,6/21/2015,0,0,0,0,0,0
1,6,6/20/2015,4097,494,1,0,0,0
1,5,6/19/2015,4202,487,1,1,0,0
1,4,6/18/2015,4645,498,1,1,0,0
1,3,6/17/2015,4000,476,1,1,0,0
1,2,6/16/2015,4852,503,1,1,0,0
1,1,6/15/2015,5518,586,1,1,0,0
1,7,6/14/2015,0,0,0,0,0,0
1,6,6/13/2015,4256,502,1,0,0,0
1,5,6/12/2015,3695,422,1,0,0,0
1,4,6/11/2015,3627,442,1,0,0,0
1,3,6/10/2015,3591,453,1,0,0,0
1,2,6/9/2015,4102,485,1,0,0,0
1,1,6/8/2015,4071,502,1,0,0,0
1,7,6/7/2015,0,0,0,0,0,0
1,6,6/6/2015,4183,460,1,0,0,0
1,5,6/5/2015,5384,609,1,1,0,0
1,4,6/4/2015,0,0,0,1,a,0
1,3,6/3/2015,5809,616,1,1,0,0
1,2,6/2/2015,5450,590,1,1,0,0
1,1,6/1/2015,5774,607,1,1,0,0
1,7,5/31/2015,0,0,0,0,0,0
1,6,5/30/2015,5592,580,1,0,0,0
1,5,5/29/2015,4656,537,1,0,0,0
1,4,5/28/2015,4111,474,1,0,0,0
1,3,5/27/2015,4083,497,1,0,0,0
1,2,5/26/2015,4211,479,1,0,0,0
1,1,5/25/2015,0,0,0,0,a,0
1,7,5/24/2015,0,0,0,0,0,0
1,6,5/23/2015,4276,506,1,0,0,0
1,5,5/22/2015,4459,495,1,1,0,0
1,4,5/21/2015,3755,471,1,1,0,0
1,3,5/20/2015,4735,533,1,1,0,0
1,2,5/19/2015,5235,546,1,1,0,0
1,1,5/18/2015,5280,577,1,1,0,0
1,7,5/17/2015,0,0,0,0,0,0
1,6,5/16/2015,4431,505,1,0,0,0
1,5,5/15/2015,4178,523,1,0,0,0
1,4,5/14/2015,0,0,0,0,a,0
1,3,5/13/2015,3998,523,1,0,0,0
1,2,5/12/2015,3547,438,1,0,0,0
1,1,5/11/2015,3551,453,1,0,0,0
1,7,5/10/2015,0,0,0,0,0,0
1,6,5/9/2015,4945,596,1,0,0,0
1,5,5/8/2015,4683,536,1,1,0,0
1,4,5/7/2015,4529,491,1,1,0,0
1,3,5/6/2015,4960,536,1,1,0,0
1,2,5/5/2015,4564,514,1,1,0,0
1,1,5/4/2015,5591,589,1,1,0,0
1,7,5/3/2015,0,0,0,0,0,0
1,6,5/2/2015,5850,653,1,0,0,0
1,5,5/1/2015,0,0,0,1,a,0
1,4,4/30/2015,6228,650,1,1,0,0
1,3,4/29/2015,5775,579,1,1,0,0
1,2,4/28/2015,5199,552,1,1,0,0
1,1,4/27/2015,5575,574,1,1,0,0
1,7,4/26/2015,0,0,0,0,0,0
1,6,4/25/2015,4318,537,1,0,0,0
1,5,4/24/2015,3198,437,1,0,0,0
1,4,4/23/2015,3076,426,1,0,0,0
1,3,4/22/2015,3319,411,1,0,0,0
1,2,4/21/2015,3037,416,1,0,0,0
1,1,4/20/2015,3722,480,1,0,0,0
1,7,4/19/2015,0,0,0,0,0,0
1,6,4/18/2015,4594,544,1,0,0,0
1,5,4/17/2015,4718,511,1,1,0,0
1,4,4/16/2015,4116,480,1,1,0,0
1,3,4/15/2015,4110,501,1,1,0,0
1,2,4/14/2015,4648,535,1,1,0,0
1,1,4/13/2015,5377,574,1,1,0,0
1,7,4/12/2015,0,0,0,0,0,0
1,6,4/11/2015,4173,525,1,0,0,0
1,5,4/10/2015,3549,428,1,0,0,1
1,4,4/9/2015,3467,430,1,0,0,1
1,3,4/8/2015,4194,500,1,0,0,1
1,2,4/7/2015,4163,555,1,0,0,1
1,1,4/6/2015,0,0,0,0,b,1
1,7,4/5/2015,0,0,0,0,0,1
1,6,4/4/2015,6709,796,1,0,0,1
1,5,4/3/2015,0,0,0,1,b,1
1,4,4/2/2015,6574,722,1,1,0,1
1,3,4/1/2015,6816,707,1,1,0,1
1,2,3/31/2015,6206,589,1,1,0,1
1,1,3/30/2015,6714,697,1,1,0,1
1,7,3/29/2015,0,0,0,0,0,0
1,6,3/28/2015,5208,605,1,0,0,0
1,5,3/27/2015,4005,529,1,0,0,0
1,4,3/26/2015,3932,490,1,0,0,0
1,3,3/25/2015,3531,447,1,0,0,0
1,2,3/24/2015,3547,464,1,0,0,0
1,1,3/23/2015,3565,495,1,0,0,0
1,7,3/22/2015,0,0,0,0,0,0
1,6,3/21/2015,3909,506,1,0,0,0
1,5,3/20/2015,4057,472,1,1,0,0
1,4,3/19/2015,4748,535,1,1,0,0
1,3,3/18/2015,3858,504,1,1,0,0
1,2,3/17/2015,4806,555,1,1,0,0
1,1,3/16/2015,5695,605,1,1,0,0
1,7,3/15/2015,0,0,0,0,0,0
1,6,3/14/2015,5225,599,1,0,0,0
1,5,3/13/2015,3725,493,1,0,0,0
1,4,3/12/2015,3141,405,1,0,0,0
1,3,3/11/2015,4170,521,1,0,0,0
1,2,3/10/2015,3805,491,1,0,0,0
1,1,3/9/2015,3701,485,1,0,0,0
1,7,3/8/2015,0,0,0,0,0,0
1,6,3/7/2015,4592,570,1,0,0,0
1,5,3/6/2015,5397,579,1,1,0,0
1,4,3/5/2015,4419,534,1,1,0,0
1,3,3/4/2015,5568,597,1,1,0,0
1,2,3/3/2015,5451,576,1,1,0,0
1,1,3/2/2015,5942,669,1,1,0,0
1,7,3/1/2015,0,0,0,0,0,0
1,6,2/28/2015,5289,640,1,0,0,0
1,5,2/27/2015,4708,542,1,0,0,0
1,4,2/26/2015,4042,489,1,0,0,0
1,3,2/25/2015,3875,512,1,0,0,0
1,2,2/24/2015,4054,500,1,0,0,0
1,1,2/23/2015,3598,454,1,0,0,0
1,7,2/22/2015,0,0,0,0,0,0
1,6,2/21/2015,4475,547,1,0,0,0
1,5,2/20/2015,4651,548,1,1,0,0
1,4,2/19/2015,4460,507,1,1,0,0
1,3,2/18/2015,4180,509,1,1,0,0
1,2,2/17/2015,4833,512,1,1,0,0
1,1,2/16/2015,4303,478,1,1,0,0
1,7,2/15/2015,0,0,0,0,0,0
1,6,2/14/2015,5015,624,1,0,0,0
1,5,2/13/2015,4726,630,1,0,0,0
1,4,2/12/2015,3900,477,1,0,0,0
1,3,2/11/2015,3735,501,1,0,0,0
1,2,2/10/2015,3136,419,1,0,0,0
1,1,2/9/2015,3965,501,1,0,0,0
1,7,2/8/2015,0,0,0,0,0,0
1,6,2/7/2015,4663,599,1,0,0,0
1,5,2/6/2015,5022,604,1,1,0,0
1,4,2/5/2015,4394,551,1,1,0,0
1,3,2/4/2015,4672,544,1,1,0,0
1,2,2/3/2015,4901,596,1,1,0,0
1,1,2/2/2015,6038,669,1,1,0,0
1,7,2/1/2015,0,0,0,0,0,0
1,6,1/31/2015,5363,638,1,0,0,0
1,5,1/30/2015,5577,616,1,1,0,0
1,4,1/29/2015,5171,573,1,1,0,0
1,3,1/28/2015,4310,537,1,1,0,0
1,2,1/27/2015,4806,532,1,1,0,0
1,1,1/26/2015,4781,566,1,1,0,0
1,7,1/25/2015,0,0,0,0,0,0
1,6,1/24/2015,4840,600,1,0,0,0
1,5,1/23/2015,3586,489,1,0,0,0
1,4,1/22/2015,3492,493,1,0,0,0
1,3,1/21/2015,3299,460,1,0,0,0
1,2,1/20/2015,3680,462,1,0,0,0
1,1,1/19/2015,3721,480,1,0,0,0
1,7,1/18/2015,0,0,0,0,0,0
1,6,1/17/2015,5255,622,1,0,0,0
1,5,1/16/2015,4161,524,1,1,0,0
1,4,1/15/2015,4295,517,1,1,0,0
1,3,1/14/2015,4541,545,1,1,0,0
1,2,1/13/2015,4924,564,1,1,0,0
1,1,1/12/2015,5346,590,1,1,0,0
1,7,1/11/2015,0,0,0,0,0,0
1,6,1/10/2015,4599,566,1,0,0,0
1,5,1/9/2015,3998,494,1,1,0,1
1,4,1/8/2015,3716,457,1,1,0,1
1,3,1/7/2015,4796,603,1,1,0,1
1,2,1/6/2015,4574,595,1,1,0,1
1,1,1/5/2015,6239,712,1,1,0,1
1,7,1/4/2015,0,0,0,0,0,1
1,6,1/3/2015,5023,645,1,0,0,1
1,5,1/2/2015,5509,657,1,0,0,1
1,4,1/1/2015,0,0,0,0,a,1
1,3,12/31/2014,2605,327,1,0,0,1
1,2,12/30/2014,6466,703,1,0,0,1
1,1,12/29/2014,6463,700,1,0,0,1
1,7,12/28/2014,0,0,0,0,0,1
1,6,12/27/2014,6057,684,1,0,0,1
1,5,12/26/2014,0,0,0,0,c,1
1,4,12/25/2014,0,0,0,0,c,1
1,3,12/24/2014,3659,421,1,0,0,1
